,x,y,node_id
0,4468900.794146259,5334177.976843279,1002798313
1,4468904.628466883,5334190.599034334,1002798321
2,4468914.4933209,5334173.643425465,1002798323
3,4468920.416226606,5334185.798351986,1002798325
4,4455058.95133842,5353932.692934992,100296644
5,4456312.701110228,5353842.335176973,100296658
6,4455024.438707615,5353924.7372963,100296714
7,4454796.848478298,5352379.537111133,100296734
8,4455720.083506204,5351518.133158683,100296750
9,4464557.8457123395,5339205.202786474,1003627492
10,4472610.230039018,5333451.406264336,1005062079
11,4470006.479085334,5347520.427650342,1006458924
12,4470063.762611116,5347554.997585958,1006458940
13,4470017.430591545,5347575.424536712,1006458950
14,4470052.065736825,5347510.646300777,1006458962
15,4467117.558534402,5341204.925005495,100792497
16,4467256.012229273,5341204.349946156,100792569
17,4444051.426073512,5321298.629496973,1009309904
18,4444437.988434359,5321438.220002461,1009309966
19,4427223.020604582,5337026.338258304,101101795
20,4467324.710500198,5334471.685719984,1011797584
21,4474969.33116433,5334015.302578419,1012750156
22,4487809.837764076,5351082.189853734,1014271073
23,4497790.0007844325,5324924.562501041,101431621
24,4467740.456421172,5336577.221458766,1014461938
25,4472568.51207284,5332160.257061491,1014777660
26,4445074.406283,5361329.444346046,101484279
27,4471352.459533643,5332224.157617486,1014875952
28,4443472.6531324,5365958.587940477,101488050
29,4443615.782479499,5365930.157986494,101488053
30,4443452.073292922,5366286.87067903,101488109
31,4443459.84242333,5366183.780294249,101488112
32,4444562.88193286,5365967.682244983,101489245
33,4445516.562846741,5365285.418568412,101489920
34,4447814.211882554,5363550.458450144,101491416
35,4447804.191161668,5363543.722747004,101491417
36,4447807.186149288,5363560.187101902,101491418
37,4447895.9389092615,5363548.815894855,101492377
38,4490389.233892537,5317074.674510004,1014969968
39,4446026.653821063,5361103.7031272305,101500682
40,4446580.141932687,5361295.894924039,101500687
41,4448265.7143342225,5361642.56259511,101500731
42,4448757.582056123,5362565.869466224,101500770
43,4448164.688082056,5363065.123795486,101505079
44,4446586.514389184,5357807.282775415,101507431
45,4450263.266748232,5338601.698708363,101515534
46,4453341.814363284,5358505.79406825,101522233
47,4451463.959205091,5359067.49845136,101522298
48,4450062.48887337,5359594.838374681,101522367
49,4448987.642305584,5360058.067767349,101522393
50,4448709.77202952,5360307.844324362,101522399
51,4448581.664721717,5360344.435915872,101522402
52,4447052.565526551,5360682.59874252,101522453
53,4445810.6513960445,5361242.962327936,101522475
54,4473286.1790537555,5333232.151013781,101559745
55,4472542.862673939,5331289.007446805,1015603455
56,4470646.916035267,5335581.497195046,1015803503
57,4469951.626180958,5336361.291501445,1015838841
58,4470058.835488878,5336614.746120029,1015875997
59,4470344.689257099,5337084.283207495,1015876003
60,4470324.9207554,5337219.012170345,1015896247
