charger_id;charger_plug_count;charger_plug_power;charger_x;charger_y
401301237;2;22;4459556.154945979;5340375.74718468
1475946405;2;22;4475137.253091685;5327848.847375654
2409259910;2;22;4472543.627943216;5329481.16493272
2413225221;2;22;4464951.252350251;5336102.190089563
2415163823;2;22;4463547.217837999;5338243.591675142
2590211683;2;22;4463245.138992346;5329246.227523135
2610743040;2;22;4471776.297189863;5335611.227151294
2787301365;2;22;4470067.394953714;5336635.082671948
3112416816;2;22;4459999.0406530285;5334143.216607149
3303767959;2;22;4468346.740037361;5332129.240428629
3639585533;2;22;4473832.995760248;5331259.4853394795
4249905486;2;22;4456970.189953022;5336004.444120375
4249905487;2;22;4471765.768858523;5335578.0449370975
4251105854;2;22;4465265.514419405;5330903.408872098
4775254568;2;22;4472346.76681186;5333517.123326284
4890326221;2;22;4472455.433869898;5331197.567957486
4929109732;2;22;4470820.964483515;5335087.646473592
4939033442;2;22;4472072.368881472;5335491.642347565
4939033539;2;22;4469164.175297221;5334956.971534412
4955396902;2;22;4473431.958471958;5333984.923994001
5081516594;2;22;4474913.756447929;5331082.073891268
5113266379;2;22;4467858.749095946;5332911.327535326
5113266380;2;22;4474809.064892968;5335036.329745586
5137045765;2;22;4464890.232191543;5339727.984752939
5137051052;2;22;4470836.291998376;5333947.7344424175
5137051056;2;22;4464001.411936724;5335991.889582184
5176528213;2;22;4464407.235668655;5338099.401760863
5176529131;2;22;4476665.857949914;5330373.192846777
5176529136;2;22;4473382.445273339;5334545.385895342
5176529262;2;22;4470552.742451017;5332902.919420724
5176535632;2;22;4466493.718391943;5331898.677728282
5176535633;2;22;4474103.311202622;5336051.152328711
5176771605;2;22;4468833.526463619;5332223.243705352
5179566337;2;22;4459723.428507776;5339835.939458167
5179568441;2;22;4460080.355170929;5333507.575082206
5179568541;2;22;4467352.105875048;5328457.840782231
5179568545;2;22;4468657.065742527;5336548.524226168
5179568546;2;22;4473716.317884782;5331893.554530451
5179568803;2;22;4459744.306135736;5333488.564101123
5179569145;2;22;4468094.102004149;5331174.051595725
5179569146;2;22;4457068.253055012;5335433.181979445
5182601543;2;22;4469460.925221559;5338449.488044887
5182601544;2;22;4464105.197326219;5330195.077180045
5196580623;2;22;4467285.281677445;5333573.988309082
5196580624;2;22;4473504.244998466;5331643.218540162
5201752312;2;22;4465744.432608287;5328946.916983911
5201754295;2;22;4469315.276943284;5333175.392255086
5207346420;2;22;4476994.963275669;5331025.364165925
5207350624;2;22;4476909.546668763;5330368.087051311
5230458361;2;22;4468059.789537141;5332040.411298276
5285375275;2;22;4461301.866269261;5337032.792518712
5289269868;2;22;4464666.002032632;5330421.2933768
5289272122;2;22;4464911.696798518;5335928.967079102
5289276712;2;22;4467885.03757211;5339079.820392838
5289276713;2;22;4469498.2376917815;5328575.448778933
5289287716;2;22;4474442.300804287;5341116.804126216
5289287717;2;22;4472616.526502885;5329148.486614241
5300000948;2;22;4459882.455196821;5336691.904336483
5300000949;2;22;4474824.040965526;5327520.995213656
5300000958;2;22;4477795.813683553;5330639.907039703
5300000959;2;22;4469897.631881721;5338684.673906478
5376361251;2;22;4465425.696898889;5341193.052284214
5376361252;2;22;4474197.4316694075;5336036.406447022
5394122125;2;22;4470278.885339553;5340651.903037976
5394122126;2;22;4457458.130309216;5338734.403500097
5415037934;2;22;4470587.273793467;5340447.754155202
5420135702;2;22;4471019.016252866;5334789.5405902695
